sheet,run,gen,mejor,prom,peor
Grafo_20,4,112,3,3.0,3
Grafo_20,4,113,3,3.0,3
Grafo_20,4,114,3,3.0,3
Grafo_20,4,115,3,3.0,3
Grafo_20,4,116,3,3.0,3
Grafo_20,4,117,3,3.0,3
Grafo_20,4,118,3,3.0,3
Grafo_20,4,119,3,3.0,3
Grafo_20,4,120,2,2.9125,3
Grafo_20,4,121,1,2.7125,3
Grafo_20,4,122,1,3.55,11
Grafo_20,4,123,1,3.8625,11
Grafo_20,4,124,1,3.7,12
Grafo_20,4,125,1,3.55,9
Grafo_20,4,126,1,3.1625,9
Grafo_20,4,127,1,2.125,8
Grafo_20,4,128,1,1.3,6
Grafo_20,4,129,1,1.0,1
Grafo_20,4,130,1,1.0,1
Grafo_20,4,131,1,1.0,1
Grafo_20,4,132,1,1.0,1
Grafo_20,4,133,1,1.0,1
Grafo_20,4,134,1,1.0,1
Grafo_20,4,135,1,1.0,1
Grafo_20,4,136,1,1.0,1
Grafo_20,4,137,1,1.0,1
Grafo_20,4,138,1,1.0,1
Grafo_20,4,139,1,1.0,1
Grafo_20,4,140,0,0.9625,1
Grafo_30,0,0,172,172.0,172
Grafo_30,0,1,172,172.0,172
Grafo_30,0,2,172,172.0,172
Grafo_30,0,3,172,172.0,172
Grafo_30,0,4,172,172.0,172
Grafo_30,0,5,172,172.0,172
Grafo_30,0,6,172,172.0,172
Grafo_30,0,7,172,172.0,172
Grafo_30,0,8,172,172.0,172
